restaurants open at 10 morning time,/->/s/#let s go{'time'= '10:00 am'|1|'10 morning time')}
authentic home made pasta restaurants open on 27 aug 2019,/->/s/#let s go{'location restaurant or cuisine'= 'home made pasta'|0|'home made pasta'; 'date'= '27 aug'|1|'27 aug 2019')}
authentic blu sardinia restaurants open on 15 oct 2019,/->/s/#let s go{'location restaurant or cuisine'= 'blu sardinia'|0|'blu sardinia'; 'date'= '15 oct'|1|'15 oct 2019')}
choose palace korean bbq at 8:00 in the evening,/s/->/book/details#time{'time'= '8:00 pm'|1|'8:00 in the evening'; 'restaurant'= 'palace korean bbq'|1|'palace korean bbq')}
what's available for 13 persons on september 13 2019,/->/s/#let s go{'date'= '13 sep'|1|'september 13  2019'; 'people'= '13 people'|1|'13 persons')}
more on mariposa at neiman marcus bellevue,/s/->restaurant#restaurant{'restaurant'= 'mariposa at neiman marcus bellevue'|1|'mariposa at neiman marcus bellevue')}
available fuji steak house restaurants for a party of 13 people on 22 nov 2019 at 11:00 in the night,/->/s/#let s go{'location restaurant or cuisine'= 'fuji steak house'|0|'fuji steak house'; 'date'= '22 nov'|1|'22 nov 2019'; 'time'= '11:00 pm'|1|'11:00 in the night'; 'people'= '13 people'|1|'a party of 13 people')}
what's available for a group of 2 friends at 11:00 in the morning on 16 dec 2019,/s/->/s/#find table{'date'= '16 dec'|1|'16 dec 2019'; 'time'= '11:00 am'|1|'11:00 in the morning'; 'people'= '2 people'|1|'a group of 2 friends')}
can I book on august 26 2019 at 9 o'clock for 8 people,restaurant->restaurant#find table{'time'= '9:00 pm'|1|"9 o'clock"; 'date'= '26 aug'|1|'august 26  2019'; 'party size'= '8'|1|'8 people')}
which greek restaurants are available for the 8 of us at 10:00 pm in the night on july 25 2019,/s/->/s/#find table{'date'= '25 jul'|1|'july 25  2019'; 'time'= '10:00 pm'|1|'10:00 pm in the night'; 'people'= '8 people'|1|'the 8 of us'; 'location restaurant or cuisine'= 'greek'|0|'greek')}
find me bj s restaurant brewhouse redmond restaurants on 10 sep 2019,/s/->/s/#find table{'date'= '10 sep'|1|'10 sep 2019'; 'location restaurant or cuisine'= 'bj s restaurant brewhouse redmond'|0|'bj s restaurant brewhouse redmond')}
choose headwaters bar and grill at 17:30,/s/->/book/details#time{'time'= '5:45 pm'|1|'17:30'; 'restaurant'= 'headwaters bar and grill'|1|'headwaters bar and grill')}
I would like for you to make this reservation for me for 5:30 in the evening,restaurant->/book/details#time{'time'= '5:30 pm'|1|'5:30 in the evening')}
which indian restaurants are available at 6:00 in the evening on 3 jul 2019,/s/->/s/#find table{'date'= '3 jul'|1|'3 jul 2019'; 'time'= '6:00 pm'|1|'6:00 in the evening'; 'location restaurant or cuisine'= 'indian'|0|'indian')}
what's the availability on august 30 2019 for 17 persons,restaurant->restaurant#find table{'date'= '30 aug'|1|'august 30  2019'; 'party size'= '17'|1|'17 persons')}
more info about the restaurant firenze ristorante italiano,/s/->restaurant#restaurant{'restaurant'= 'firenze ristorante italiano'|1|'firenze ristorante italiano')}
find me a restaurant for just for 19 on october 17 2019 at noon time,/->/s/#let s go{'date'= '17 oct'|1|'october 17  2019'; 'time'= '12:00 pm'|1|'noon time'; 'people'= '19 people'|1|'just for 19')}
which vietnamese restaurants are available on 28 aug 2019,/s/->/s/#find table{'date'= '28 aug'|1|'28 aug 2019'; 'location restaurant or cuisine'= 'vietnamese'|0|'vietnamese')}
available beachhouse bar grill restaurants for 20 on 28 oct 2019,/s/->/s/#find table{'date'= '28 oct'|1|'28 oct 2019'; 'people'= '20 people'|1|'20'; 'location restaurant or cuisine'= 'beachhouse bar grill'|0|'beachhouse bar grill')}
can I view more details on eques,/s/->restaurant#restaurant{'restaurant'= 'eques'|1|'eques')}
is 6:00 pm in the evening still available,restaurant->/book/details#time{'time'= '6:00 pm'|1|'6:00 pm in the evening')}
