/en-us/booking/search-results->hotel-rates#see rooms for hotel,see rooms for hotel,see rooms for hotel,CLOSED
/en-us/booking/search-results->hotel details#select hotel,select hotel,country inn & suites by radisson seattle tacoma international airport wa,CLOSED
/en-us/booking/search-results->hotel details#select hotel,select hotel,country inn & suites by radisson portland delta park or,CLOSED
/en-us/booking/search-results->hotel details#select hotel,select hotel,country inn & suites by radisson seattle bothell wa,CLOSED
/en-us/booking/search-results->hotel details#select hotel,select hotel,radisson hotel seattle airport,CLOSED
/en-us/booking/search-results->hotel details#select hotel,select hotel,country inn & suites by radisson portland international airport or,CLOSED
/en-us/booking/search-results->hotel details#select hotel,select hotel,radisson red portland downtown,CLOSED
/en-us/booking/search-results->hotel details#select hotel,select hotel,radisson hotel portland airport,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,atlanta,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,new delhi,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,sydney,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,mexico city,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,budapest,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,orlando,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,amsterdam,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,dubai,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,istanbul,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,berlin,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,new york,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,chicago,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,copenhagen,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,paris,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,shanghai,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,london,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,toronto,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,bangkok,CLOSED
/en-us/->/en-us/destination-results/#select hot destination,select hot destination,minneapolis,CLOSED
/en-us/->/en-us/booking/search-results#find hotel,destination,new york,OPEN
/en-us/->/en-us/booking/search-results#find hotel,occupancy rooms,1,CLOSED
/en-us/->/en-us/booking/search-results#find hotel,occupancy rooms,2,CLOSED
/en-us/->/en-us/booking/search-results#find hotel,occupancy rooms,3,CLOSED
/en-us/->/en-us/booking/search-results#find hotel,occupancy rooms,4,CLOSED
/en-us/->/en-us/booking/search-results#find hotel,occupancy rooms,5,CLOSED
/en-us/->/en-us/booking/search-results#find hotel,occupancy rooms,6,CLOSED
