what's the avaiability on october 4 2019,Restaurant->Restaurant availability#find table{'date'= '4 oct'|1|'october 4  2019')}
do they have any table left on 8 oct 2019,Restaurant->Restaurant availability#find table{'date'= '8 oct'|1|'8 oct 2019')}
can I book on 30 jul 2019 at 20:30 for a group of 10 friends,Restaurant->Restaurant availability#find table{'time'= '20:30'|1|'20:30'; 'date'= '30 jul'|1|'30 jul 2019'; 'number of people'= 'for 10'|1|'a group of 10 friends')}
can you reserve on september 12 2019 for about 4 people,Restaurant->Restaurant availability#find table{'date'= '12 sep'|1|'september 12  2019'; 'number of people'= 'for 4'|1|'about 4 people')}
can they accomodate a party of 7 on 5 sep 2019,Restaurant->Restaurant availability#find table{'date'= '5 sep'|1|'5 sep 2019'; 'number of people'= 'for 7'|1|'a party of 7')}
book it at 8:00 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8:00 pm in the evening')}
more info about the restaurant liverpool,/->/city-restaurants#search{'search by name or location'= 'liverpool'|0|'liverpool')}
what are those with italian cuisine,/search-listings/->/search-listings/#cuisine{'cuisine'= 'italian'|1|'italian')}
reserve for david johnson and specify mark_taylor@outlook.com as email and 3122345786 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'mark_taylor@outlook.com'|0|'mark_taylor@outlook.com'; 'first name'= 'david'|0|'david'; 'last name'= 'johnson'|0|'johnson'; 'phone number'= '3122345786'|0|'3122345786')}
yes reserve this resturant for 6 o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|"6 o'clock")}
book me this restaurant at 20:00,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'20:00')}
I need a reservation at this place at 20:15,Restaurant availability->Reservation form#booking time{'booking time'= '20:15'|1|'20:15')}
anything free at 4:00 pm in the afternoon,Restaurant->Restaurant availability#find table{'time'= '16:00'|1|'4:00 pm in the afternoon')}
is there anything in south east london,/search-listings/->/search-listings/#location{'location'= 'south east london'|1|'south east london')}
make a reservation for this for 8 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8 in the evening')}
place the reservation for 4 o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|"4 o'clock")}
show me restaurants in west london,/->/search-listings/#search{'restaurant name or location'= 'west london'|0|'west london')}
can I book on 20 dec 2019 at 6:30 am in the morning for about 7 people,Restaurant->Restaurant availability#find table{'time'= '6:30'|1|'6:30 am in the morning'; 'date'= '20 dec'|1|'20 dec 2019'; 'number of people'= 'for 7'|1|'about 7 people')}
can I book on 27 aug 2019 at 10:00 in the night for a group of 2 friends,Restaurant->Restaurant availability#find table{'time'= '22:00'|1|'10:00 in the night'; 'date'= '27 aug'|1|'27 aug 2019'; 'number of people'= 'for 2'|1|'a group of 2 friends')}
anything free at 9:00 in the morning,Restaurant->Restaurant availability#find table{'time'= '9:00'|1|'9:00 in the morning')}
can I book on 19 sep 2019 at 1:00 in the morning for 12 guests,Restaurant->Restaurant availability#find table{'time'= '1:00'|1|'1:00 in the morning'; 'date'= '19 sep'|1|'19 sep 2019'; 'number of people'= 'for 12'|1|'12 guests')}
what's the availability on november 8 2019 for about 2 people,Restaurant->Restaurant availability#find table{'date'= '8 nov'|1|'november 8  2019'; 'number of people'= 'for 2'|1|'about 2 people')}
available west london restaurants,/->/search-listings/#search{'restaurant name or location'= 'west london'|0|'west london')}
can I book on september 3 2019 at 3:30 in the afternoon for just for 6,Restaurant->Restaurant availability#find table{'time'= '15:30'|1|'3:30 in the afternoon'; 'date'= '3 sep'|1|'september 3  2019'; 'number of people'= 'for 6'|1|'just for 6')}
can I book on july 22 2019 at 7 morning time for just for 6,Restaurant->Restaurant availability#find table{'time'= '7:00'|1|'7 morning time'; 'date'= '22 jul'|1|'july 22  2019'; 'number of people'= 'for 6'|1|'just for 6')}
what are some good restaurants in edinburgh city center,/city-restaurants->/search-listings/#city area{'city area'= 'edinburgh city center'|1|'edinburgh city center')}
anything free at 12:30,Restaurant->Restaurant availability#find table{'time'= '12:30'|1|'12:30')}||Restaurant->Restaurant availability#find table{'time'= '0:30'|1|'12:30')}
I need a reservation at this place at 18:00,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'18:00')}
is 7:30 pm in the evening still available,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'7:30 pm in the evening')}
make a reservation for this for 8 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8 pm time')}
filter by vegan cuisine,/search-listings/->/search-listings/#cuisine{'cuisine'= 'vegan'|1|'vegan')}
anything free at 5:00 pm time,Restaurant->Restaurant availability#find table{'time'= '17:00'|1|'5:00 pm time')}
reserve this one and give tom johnson as contact person,Reservation form->Reservation confirmation#continue reservation{'first name'= 'tom'|0|'tom'; 'last name'= 'johnson'|0|'johnson')}
how booked it is on july 31 2019,Restaurant->Restaurant availability#find table{'date'= '31 jul'|1|'july 31  2019')}
is it available on 3 dec 2019 at 5:30 pm in the evening,Restaurant->Restaurant availability#find table{'time'= '17:30'|1|'5:30 pm in the evening'; 'date'= '3 dec'|1|'3 dec 2019')}
can I get a table here for 20:15,Restaurant availability->Reservation form#booking time{'booking time'= '20:15'|1|'20:15')}
can I book on september 9 2019 at 3:00 in the morning for 12 guests,Restaurant->Restaurant availability#find table{'time'= '3:00'|1|'3:00 in the morning'; 'date'= '9 sep'|1|'september 9  2019'; 'number of people'= 'for 12'|1|'12 guests')}
can they accomodate the 7 of us on december 25 2019,Restaurant->Restaurant availability#find table{'date'= '25 dec'|1|'december 25  2019'; 'number of people'= 'for 7'|1|'the 7 of us')}
can you reserve on 3 sep 2019 for about 10 people,Restaurant->Restaurant availability#find table{'date'= '3 sep'|1|'3 sep 2019'; 'number of people'= 'for 10'|1|'about 10 people')}
I want to reserve for 8:15 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:15'|1|'8:15 in the evening')}
what's the availability on 4 oct 2019 for 10 persons,Restaurant->Restaurant availability#find table{'date'= '4 oct'|1|'4 oct 2019'; 'number of people'= 'for 10'|1|'10 persons')}
reserve it for me under joseph miller,Reservation form->Reservation confirmation#continue reservation{'first name'= 'joseph'|0|'joseph'; 'last name'= 'miller'|0|'miller')}
do have availability for about 2 people,Restaurant->Restaurant availability#find table{'number of people'= 'for 2'|1|'about 2 people')}
can you show me the menu photos and reviews of the real greek bankside,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'the real greek bankside'|1|'the real greek bankside')}||/->/city-restaurants#search{'search by name or location'= 'the real greek bankside'|0|'the real greek bankside')}
what about a table here at 11:30 am in the morning for just for 2,Restaurant->Restaurant availability#find table{'time'= '11:30'|1|'11:30 am in the morning'; 'number of people'= 'for 2'|1|'just for 2')}
confirm my table for 4:00 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'4:00 afternoon time')}
can you reserve on november 12 2019 for 1 person,Restaurant->Restaurant availability#find table{'date'= '12 nov'|1|'november 12  2019'; 'number of people'= 'for 1'|1|'1 person')}
do they have any table left on 27 sep 2019,Restaurant->Restaurant availability#find table{'date'= '27 sep'|1|'27 sep 2019')}
ask italian edinburgh restaurants,/->/search-listings/#search{'restaurant name or location'= 'ask italian edinburgh'|0|'ask italian edinburgh')}
yes reserve this resturant for 6:30 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:30'|1|'6:30 pm in the evening')}
get a table here for 4:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'4:00 pm time')}
Is the restaurant available at 6 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6 pm time')}
anything free at 5:30 in the evening,Restaurant->Restaurant availability#find table{'time'= '17:30'|1|'5:30 in the evening')}
I want a table here for 3:30 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '15:30'|1|'3:30 pm time')}
make a reservation for this for 8 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8 evening time')}
how booked it is on october 9 2019,Restaurant->Restaurant availability#find table{'date'= '9 oct'|1|'october 9  2019')}
yes reserve this resturant for 9:00 in the night,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9:00 in the night')}
what about a table here at 2 in the afternoon for the 11 of us,Restaurant->Restaurant availability#find table{'time'= '14:00'|1|'2 in the afternoon'; 'number of people'= 'for 11'|1|'the 11 of us')}
what about a table here at 4:30 am time for 4 guests,Restaurant->Restaurant availability#find table{'time'= '4:30'|1|'4:30 am time'; 'number of people'= 'for 4'|1|'4 guests')}
how booked it is on 19 dec 2019,Restaurant->Restaurant availability#find table{'date'= '19 dec'|1|'19 dec 2019')}
is it available on december 2 2019 at 20:00,Restaurant->Restaurant availability#find table{'time'= '20:00'|1|'20:00'; 'date'= '2 dec'|1|'december 2  2019')}
what's the availability on october 31 2019 for 12 persons,Restaurant->Restaurant availability#find table{'date'= '31 oct'|1|'october 31  2019'; 'number of people'= 'for 12'|1|'12 persons')}
make the reservation now for 4:45 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '16:45'|1|'4:45 pm time')}
