7/1/2019,1-Jul,"Monday, July 1, 2019","July 1, 2019",1-Jul-2019
7/2/2019,2-Jul,"Tuesday, July 2, 2019","July 2, 2019",2-Jul-2019
7/3/2019,3-Jul,"Wednesday, July 3, 2019","July 3, 2019",3-Jul-2019
7/4/2019,4-Jul,"Thursday, July 4, 2019","July 4, 2019",4-Jul-2019
7/5/2019,5-Jul,"Friday, July 5, 2019","July 5, 2019",5-Jul-2019
7/8/2019,8-Jul,"Monday, July 8, 2019","July 8, 2019",8-Jul-2019
7/9/2019,9-Jul,"Tuesday, July 9, 2019","July 9, 2019",9-Jul-2019
7/10/2019,10-Jul,"Wednesday, July 10, 2019","July 10, 2019",10-Jul-2019
7/11/2019,11-Jul,"Thursday, July 11, 2019","July 11, 2019",11-Jul-2019
7/12/2019,12-Jul,"Friday, July 12, 2019","July 12, 2019",12-Jul-2019
7/15/2019,15-Jul,"Monday, July 15, 2019","July 15, 2019",15-Jul-2019
7/16/2019,16-Jul,"Tuesday, July 16, 2019","July 16, 2019",16-Jul-2019
7/17/2019,17-Jul,"Wednesday, July 17, 2019","July 17, 2019",17-Jul-2019
7/18/2019,18-Jul,"Thursday, July 18, 2019","July 18, 2019",18-Jul-2019
7/19/2019,19-Jul,"Friday, July 19, 2019","July 19, 2019",19-Jul-2019
7/22/2019,22-Jul,"Monday, July 22, 2019","July 22, 2019",22-Jul-2019
7/23/2019,23-Jul,"Tuesday, July 23, 2019","July 23, 2019",23-Jul-2019
7/24/2019,24-Jul,"Wednesday, July 24, 2019","July 24, 2019",24-Jul-2019
7/25/2019,25-Jul,"Thursday, July 25, 2019","July 25, 2019",25-Jul-2019
7/26/2019,26-Jul,"Friday, July 26, 2019","July 26, 2019",26-Jul-2019
7/29/2019,29-Jul,"Monday, July 29, 2019","July 29, 2019",29-Jul-2019
7/30/2019,30-Jul,"Tuesday, July 30, 2019","July 30, 2019",30-Jul-2019
7/31/2019,31-Jul,"Wednesday, July 31, 2019","July 31, 2019",31-Jul-2019
8/1/2019,1-Aug,"Thursday, August 1, 2019","August 1, 2019",1-Aug-2019
8/2/2019,2-Aug,"Friday, August 2, 2019","August 2, 2019",2-Aug-2019
8/5/2019,5-Aug,"Monday, August 5, 2019","August 5, 2019",5-Aug-2019
8/6/2019,6-Aug,"Tuesday, August 6, 2019","August 6, 2019",6-Aug-2019
